year,"last_name, first_name",pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2021,"Megill, Trevor",656730,Cubs,CHC,R,96.4,306,460,2.8395061728395063,0.6652173913043479,FF,4-Seam Fastball,13,-12.5,-0.5,-4,5,-6.4,-1.4,-22,,
2021,"Sheffield, Justus",656954,Mariners,SEA,L,85.8,306,1470,9.074074074074074,0.20816326530612245,CH,Changeup,33.6,-31.4,2.2,7,12.6,-14.6,-1.9,-13,0.75432526,0.16608996539792387
2021,"Trivino, Lou",642152,Athletics,OAK,R,95.6,305,1177,7.265432098765432,0.25913338997451146,FF,4-Seam Fastball,15.2,-13.8,-1.4,-10,8.2,-7.6,0.7,9,0.22695035460992907,0.5768321513002365
2021,"Rodriguez, Eduardo",593958,Red Sox,BOS,L,92.5,304,2721,16.796296296296298,0.11172363101800808,SI,Sinker,21.9,-22.4,-0.5,-2,14.9,-14.9,0,0,0.45267489711934156,0.43209876543209874
2021,"Smith, Caleb",592761,D-backs,AZ,L,82.1,304,2067,12.75925925925926,0.1470730527334301,CH,Changeup,26.6,-31.5,-4.9,-15,13.9,-13.5,0.4,3,0.048442907,0.5397923875432526
2021,"Cortes, Nestor",641482,Yankees,NYY,L,77.5,302,1524,9.407407407407407,0.19816272965879264,ST,Sweeper,41.1,-42.9,-1.9,-4,14.6,15.8,-1.2,-7,0.2222222222222222,0.3333333333333333
2021,"Tapia, Domingo",593619,Royals,KC,R,97.2,302,520,3.2098765432098766,0.5807692307692308,SI,Sinker,19.9,-21.3,-1.4,-6,16.7,-16,0.7,5,0.3292181069958848,0.5843621399176955
2021,"Pop, Zach",647315,Marlins,MIA,R,85.9,302,936,5.777777777777778,0.32264957264957267,SL,Slider,38.3,-35,3.3,9,6.3,5,1.3,25,0.8250728862973761,0.7026239067055393
2021,"Detwiler, Ross",446321,Padres,SD,L,91.9,301,888,5.481481481481482,0.33896396396396394,FF,4-Seam Fastball,16,-15.2,-0.8,-6,10.5,-6.6,3.9,59,0.35697399527186763,0.8959810874704491
2021,"Hentges, Sam",656529,Guardians,CLE,L,86.1,301,1260,7.777777777777778,0.2388888888888889,SL,Slider,34.2,-34.8,-0.6,-2,3.4,4.4,-1,-23,0.4139941690962099,0.4198250728862974
2021,"Alexander, Tyler",641302,Tigers,DET,L,83.7,301,1640,10.123456790123457,0.18353658536585366,CH,Changeup,31.5,-31.4,0.1,0,13.2,-13.8,-0.6,-5,0.5397923875432526,0.3391003460207612
2021,"Treinen, Blake",595014,Dodgers,LAD,R,97.4,300,1095,6.7592592592592595,0.273972603,SI,Sinker,23.1,-20.7,2.4,11,18.1,-15.5,2.6,17,0.7983539094650206,0.9506172839506173
2021,"Turnbull, Spencer",605513,Tigers,DET,R,93.8,299,775,4.783950617283951,0.3858064516129032,FF,4-Seam Fastball,18.6,-15,-3.6,-24,2.5,-7.5,-5,-67,0.059101655,0.044917258
2021,"Misiewicz, Anthony",664948,Mariners,SEA,L,88.7,298,894,5.518518518518518,0.3333333333333333,FC,Cutter,27.1,-26.9,-0.2,-1,0.6,2.3,-1.7,-74,0.5153846153846153,0.24615384615384617
2021,"Abreu, Bryan",650556,Astros,HOU,R,95.6,298,689,4.253086419753086,0.432510885,FF,4-Seam Fastball,13,-13.9,0.9,7,7.8,-7.5,0.3,5,0.7186761229314421,0.5200945626477541
2021,"Watkins, Spenser",657093,Orioles,BAL,R,86.7,298,960,5.925925925925926,0.3104166666666667,FC,Cutter,28.7,-29,0.4,1,5.6,3.3,2.3,72,0.6076923076923076,0.8615384615384616
2021,"López, Jorge",605347,Orioles,BAL,R,88.5,298,2166,13.37037037037037,0.13758079409048937,CH,Changeup,28.6,-28.6,0,0,14.8,-14.2,0.6,4,0.5259515570934256,0.5570934256055363
2021,"Burr, Ryan",621114,White Sox,CWS,R,94.7,298,593,3.6604938271604937,0.5025295109612141,FF,4-Seam Fastball,14.7,-13.2,-1.5,-11,1.4,-6.2,-4.8,-77,0.20567375886524822,0.052009456
2021,"Ponce, Cody",664074,Pirates,PIT,R,93.2,297,712,4.395061728395062,0.41713483146067415,FF,4-Seam Fastball,16,-14.6,-1.4,-9,8.3,-6.7,1.6,23,0.22695035460992907,0.6524822695035462
2021,"Urquidy, José",664353,Astros,HOU,R,84.4,297,1631,10.067901234567902,0.18209687308399755,CH,Changeup,27.7,-30.1,-2.4,-8,15.5,-13.5,2,15,0.2422145328719723,0.7854671280276817
2021,"Hendrix, Ryan",641682,Reds,CIN,R,85.9,297,540,3.3333333333333335,0.55,SL,Slider,39,-35,4,11,0.3,4.4,-4.7,-106,0.8717201166180758,0.037900874635568516
2021,"Reyes, Alex",621052,Cardinals,STL,R,96.7,296,1249,7.709876543209877,0.23698959167333866,SI,Sinker,14.3,-19.7,-5.4,-27,12.1,-15.2,-3.1,-20,0.041152263,0.069958848
2021,"Minaya, Juan",573668,Twins,MIN,R,88.9,296,659,4.067901234567901,0.44916540212443096,CH,Changeup,35.2,-28,7.2,26,12.4,-14,-1.7,-12,0.98615917,0.19377162629757785
2021,"Rogers, Taylor",573124,Twins,MIN,L,95.7,295,642,3.962962962962963,0.45950155763239875,SI,Sinker,22.7,-22.2,0.5,2,17.4,-15.6,1.7,11,0.6213991769547325,0.8065843621399177
2021,"Norris, Daniel",596057,Brewers,MIL,L,86.9,295,989,6.104938271604938,0.2982810920121335,CH,Changeup,37.6,-30.5,7.1,23,12.6,-14.4,-1.8,-13,0.9826989619377162,0.17993079584775087
2021,"Price, David",456034,Dodgers,LAD,L,85.5,295,1178,7.271604938271605,0.25042444821731746,CH,Changeup,31.8,-30.6,1.2,4,14.7,-14.2,0.5,4,0.6747404844290658,0.5467128027681661
2021,"Sheffield, Jordan",642068,Rockies,COL,R,96.4,294,456,2.8322981366459627,0.6447368421052632,FF,4-Seam Fastball,12.7,-14.4,1.7,11,7.3,-8.1,-0.8,-10,,
2021,"Zuber, Tyler",676604,Royals,KC,R,94.6,293,506,3.123456790123457,0.5790513833992095,FF,4-Seam Fastball,14.5,-15.5,1,6,9,-8.2,0.8,9,0.735224586,0.5839243498817966
2021,"Oviedo, Luis",665854,Pirates,PIT,R,94.3,293,580,3.580246913580247,0.5051724137931034,FF,4-Seam Fastball,14.1,-13.8,-0.2,-2,7.6,-6.6,1,16,0.48226950354609927,0.6004728132387707
2021,"Taylor, Josh",657031,Red Sox,BOS,L,94.6,293,791,4.882716049382716,0.37041719342604296,FF,4-Seam Fastball,14.7,-14.5,-0.2,-1,3.7,-7.6,-3.8,-50,0.48226950354609927,0.10874704491725769
2021,"Underwood Jr., Duane",621249,Pirates,PIT,R,80.6,293,1177,7.265432098765432,0.24893797790994052,CU,Curveball,53.3,-52.5,0.8,2,8.5,7.7,0.8,10,0.508,0.624
2021,"García, Luis",472610,Cardinals,STL,R,98.3,292,501,3.0925925925925926,0.5828343313373253,SI,Sinker,18.5,-17.3,1.2,7,14.1,-14.6,-0.5,-4,0.7078189300411523,0.32510288065843623
2021,"Martinez, Carlos",593372,Cardinals,STL,R,82.5,292,1281,7.907407407407407,0.22794691647150664,SL,Slider,38.9,-39,-0.1,0,11.3,6.8,4.5,65,0.46647230320699706,0.9067055393586005
